Code,Name,Symbol,Emoji
AED,United Arab Emirates Dirham,AED,🇦🇪
AFN,Afghan Afghani,AFN,🇦🇫
ALL,Albanian Lek,ALL,🇦🇱
AMD,Armenian Dram,AMD,🇦🇲
ANG,Netherlands Antillean Guilder,ANG,🇧🇶
AOA,Angolan Kwanza,AOA,🇦🇴
ARS,Argentine Peso,ARS,🇦🇷
AUD,Australian Dollar,AUD,🇦🇺
AWG,Aruban Florin,AWG,🇦🇼
AZN,Azerbaijani Manat,AZN,🇦🇿
BAM,Bosnia-Herzegovina Convertible Mark,BAM,🇧🇦
BBD,Barbadian Dollar,BBD,🇧🇧
BDT,Bangladeshi Taka,BDT,🇧🇩
BGN,Bulgarian Lev,BGN,🇧🇬
BHD,Bahraini Dinar,BHD,🇧🇭
BIF,Burundian Franc,BIF,🇧🇮
BMD,Bermudian Dollar,BMD,🇧🇲
BND,Brunei Dollar,BND,🇧🇳
BOB,Bolivian Boliviano,BOB,🇧🇴
BRL,Brazilian Real,BRL,🇧🇷
BSD,Bahamian Dollar,BSD,🇧🇸
BTC,Bitcoin,BTC,₿
BTN,Bhutanese Ngultrum,BTN,🇧🇹
BWP,Botswanan Pula,BWP,🇧🇼
BYN,Belarusian Ruble,BYN,🇧🇾
BYR,Belarusian Ruble (old),BYR,🇧🇾
BZD,Belize Dollar,BZD,🇧🇿
CAD,Canadian Dollar,CAD,🇨🇦
CDF,Congolese Franc,CDF,🇨🇩
CHF,Swiss Franc,CHF,🇨🇭
CLF,Chilean Unit of Account (UF),CLF,🇨🇱
CLP,Chilean Peso,CLP,🇨🇱
CNY,Chinese Yuan,CNY,🇨🇳
COP,Colombian Peso,COP,🇨🇴
CRC,Costa Rican Colón,CRC,🇨🇷
CUC,Cuban Convertible Peso,CUC,🇨🇺
CUP,Cuban Peso,CUP,🇨🇺
CVE,Cape Verdean Escudo,CVE,🇨🇻
CZK,Czech Republic Koruna,CZK,🇨🇿
DJF,Djiboutian Franc,DJF,🇩🇯
DKK,Danish Krone,DKK,🇩🇰
DOP,Dominican Peso,DOP,🇩🇴
DZD,Algerian Dinar,DZD,🇩🇿
EGP,Egyptian Pound,EGP,🇪🇬
ERN,Eritrean Nakfa,ERN,🇪🇷
ETB,Ethiopian Birr,ETB,🇪🇹
EUR,Euro,EUR,🇪🇺
FJD,Fijian Dollar,FJD,🇫🇯
FKP,Falkland Islands Pound,FKP,🇫🇰
